class,id
cytotoxic chemo,40890280
cytotoxic chemo,40890299
cytotoxic chemo,40890302
cytotoxic chemo,40890313
cytotoxic chemo,40890378
cytotoxic chemo,40890403
cytotoxic chemo,40891070
cytotoxic chemo,4974
cytotoxic chemo,4975
cytotoxic chemo,96981
cytotoxic chemo,109822
cytotoxic chemo,110138
cytotoxic chemo,114152
cytotoxic chemo,17209
cytotoxic chemo,173891
cytotoxic chemo,173892
cytotoxic chemo,173893
cytotoxic chemo,177442
cytotoxic chemo,177443
cytotoxic chemo,177444
cytotoxic chemo,177445
cytotoxic chemo,177446
cytotoxic chemo,177447
cytotoxic chemo,177448
cytotoxic chemo,177450
cytotoxic chemo,182390
cytotoxic chemo,185413
cytotoxic chemo,186673
cytotoxic chemo,186678
cytotoxic chemo,204192
cytotoxic chemo,204194
cytotoxic chemo,204196
cytotoxic chemo,204197
cytotoxic chemo,204198
cytotoxic chemo,30210
cytotoxic chemo,30211
cytotoxic chemo,30213
cytotoxic chemo,410027
cytotoxic chemo,410028
cytotoxic chemo,4976
cytotoxic chemo,177575
cytotoxic chemo,177581
cytotoxic chemo,30224
cytotoxic chemo,30221
cytotoxic chemo,145557
cytotoxic chemo,40820031
cytotoxic chemo,40820299
cytotoxic chemo,40821545
cytotoxic chemo,40890186
cytotoxic chemo,19625
cytotoxic chemo,6895
cytotoxic chemo,40890006
cytotoxic chemo,40890005
cytotoxic chemo,1189073001
cytotoxic chemo,1193073001
cytotoxic chemo,119434
cytotoxic chemo,137417
cytotoxic chemo,137418
cytotoxic chemo,137419
cytotoxic chemo,174183
cytotoxic chemo,40820300
cytotoxic chemo,10630
cytotoxic chemo,40890982
cytotoxic chemo,10631
cytotoxic chemo,40822656
cytotoxic chemo,40890318
cytotoxic chemo,40890171
cytotoxic chemo,40890304
cytotoxic chemo,40890136
cytotoxic chemo,137787
cytotoxic chemo,40890041
cytotoxic chemo,40890331
cytotoxic chemo,40890332
cytotoxic chemo,40890333
cytotoxic chemo,40890334
cytotoxic chemo,40891099
cytotoxic chemo,40891100
cytotoxic chemo,40891101
cytotoxic chemo,99612
cytotoxic chemo,23928
cytotoxic chemo,410032
cytotoxic chemo,23929
cytotoxic chemo,139922
cytotoxic chemo,40890034
cytotoxic chemo,40890035
cytotoxic chemo,40890037
cytotoxic chemo,40890038
cytotoxic chemo,40890039
cytotoxic chemo,40890091
cytotoxic chemo,40890092
cytotoxic chemo,40890155
cytotoxic chemo,40890211
cytotoxic chemo,40890212
cytotoxic chemo,40891301
cytotoxic chemo,40891400
cytotoxic chemo,40891401
cytotoxic chemo,40891402
cytotoxic chemo,10843
cytotoxic chemo,410033
cytotoxic chemo,40475
cytotoxic chemo,40891033
cytotoxic chemo,124479
cytotoxic chemo,12519
cytotoxic chemo,40890143
cytotoxic chemo,40890047
cytotoxic chemo,410035
cytotoxic chemo,89350
cytotoxic chemo,89351
cytotoxic chemo,125164
cytotoxic chemo,40890144
cytotoxic chemo,99982
cytotoxic chemo,11136
cytotoxic chemo,4792
cytotoxic chemo,141817
cytotoxic chemo,25892
cytotoxic chemo,25910
cytotoxic chemo,25893
cytotoxic chemo,25894
cytotoxic chemo,25912
cytotoxic chemo,25895
cytotoxic chemo,81462
cytotoxic chemo,97260
cytotoxic chemo,144908
cytotoxic chemo,81461
cytotoxic chemo,144912
cytotoxic chemo,40890188
cytotoxic chemo,7886
cytotoxic chemo,145222
cytotoxic chemo,149462
cytotoxic chemo,40890147
cytotoxic chemo,40890182
cytotoxic chemo,40891162
cytotoxic chemo,40891264
cytotoxic chemo,40891283
cytotoxic chemo,17285
cytotoxic chemo,40890046
cytotoxic chemo,40890180
cytotoxic chemo,40890421
cytotoxic chemo,40890500
cytotoxic chemo,92835
cytotoxic chemo,92836
